G,F,P,category,type,sector,score,classification,desc
4,3,2,Qualité,Financier,Technologie,24,Faible,
4,4,3,Industriel,Commercial,PME,48,Moyen,
3,5,1,Projet/Programme,Commercial,PME,15,Faible,
4,3,2,Projet/Programme,Commercial,Agriculture,24,Faible,
4,4,1,Industriel,Technique,Agriculture,16,Faible,
2,5,3,Qualité,Commercial,TPE,30,Moyen,
5,4,4,Industriel,Cyber & SSI,Mobilité et Transport,80,Eleve,
2,3,1,Qualité,Financier,Innovation,6,Faible,
4,5,4,Qualité,Commercial,ETI,80,Eleve,
2,1,3,Industriel,Technique,ETI,6,Faible,
5,4,4,Industriel,Technique,Technologie,80,Eleve,
4,4,5,Qualité,Technique,TPE,80,Eleve,
5,3,2,Qualité,Commercial,Agriculture,30,Moyen,
5,2,5,Projet/Programme,Technique,PME,50,Moyen,
5,4,4,Projet/Programme,Financier,Mobilité et Transport,80,Eleve,
2,1,3,Industriel,Commercial,ETI,6,Faible,
3,5,1,Projet/Programme,Commercial,Agriculture,15,Faible,
2,1,4,Projet/Programme,Financier,Technologie,8,Faible,
2,5,4,Projet/Programme,Technique,Agriculture,40,Moyen,
5,4,1,Qualité,Cyber & SSI,Agriculture,20,Faible,
5,2,1,Industriel,Cyber & SSI,Mobilité et Transport,10,Faible,
4,4,4,Industriel,Commercial,TPE,64,Eleve,
2,2,4,Qualité,Cyber & SSI,Mobilité et Transport,16,Faible,
4,2,1,Projet/Programme,Financier,Mobilité et Transport,8,Faible,
5,5,4,Projet/Programme,Commercial,TPE,100,Eleve,
1,5,2,Projet/Programme,Technique,PME,10,Faible,
2,1,1,Qualité,Commercial,TPE,2,Faible,
5,4,5,Projet/Programme,Financier,Technologie,100,Eleve,
4,4,4,Industriel,Cyber & SSI,ETI,64,Eleve,
2,4,3,Qualité,Financier,TPE,24,Faible,
3,3,3,Qualité,Financier,Innovation,27,Moyen,
5,2,4,Projet/Programme,Financier,Mobilité et Transport,40,Moyen,
5,2,5,Industriel,Financier,Mobilité et Transport,50,Moyen,
3,4,4,Qualité,Financier,Innovation,48,Moyen,
4,2,4,Industriel,Cyber & SSI,Mobilité et Transport,32,Moyen,
4,4,2,Industriel,Financier,ETI,32,Moyen,
5,1,4,Industriel,Financier,Mobilité et Transport,20,Faible,
5,5,1,Industriel,Technique,Innovation,25,Faible,
1,3,1,Qualité,Financier,Agriculture,3,Faible,
2,5,4,Projet/Programme,Technique,TPE,40,Moyen,
5,2,4,Industriel,Financier,ETI,40,Moyen,
4,5,2,Projet/Programme,Technique,Agriculture,40,Moyen,
2,2,4,Projet/Programme,Technique,TPE,16,Faible,
2,5,1,Projet/Programme,Commercial,PME,10,Faible,
5,4,1,Industriel,Financier,Mobilité et Transport,20,Faible,
2,5,2,Qualité,Financier,TPE,20,Faible,
3,4,2,Projet/Programme,Commercial,PME,24,Faible,
4,4,4,Industriel,Technique,Innovation,64,Eleve,
3,4,5,Qualité,Technique,PME,60,Eleve,
4,4,4,Qualité,Commercial,Agriculture,64,Eleve,
4,1,5,Qualité,Financier,TPE,20,Faible,
4,1,5,Qualité,Financier,ETI,20,Faible,
1,5,5,Industriel,Financier,PME,25,Faible,
4,4,1,Industriel,Cyber & SSI,Technologie,16,Faible,
1,5,4,Qualité,Cyber & SSI,ETI,20,Faible,
3,2,2,Qualité,Cyber & SSI,Agriculture,12,Faible,
4,5,2,Qualité,Cyber & SSI,Startup,40,Moyen,
2,4,1,Qualité,Commercial,Startup,8,Faible,
1,2,4,Qualité,Financier,PME,8,Faible,
4,5,2,Industriel,Cyber & SSI,Technologie,40,Moyen,
1,4,3,Industriel,Commercial,Mobilité et Transport,12,Faible,
2,3,4,Industriel,Technique,PME,24,Faible,
5,4,1,Industriel,Financier,Innovation,20,Faible,
1,1,4,Qualité,Cyber & SSI,Innovation,4,Faible,
2,1,4,Industriel,Financier,Startup,8,Faible,
4,4,3,Projet/Programme,Commercial,Agriculture,48,Moyen,
1,5,1,Projet/Programme,Technique,PME,5,Faible,
4,4,4,Qualité,Financier,Agriculture,64,Eleve,
5,3,4,Qualité,Financier,Mobilité et Transport,60,Eleve,
